log,label
AuthenticationException: Bad credentials for user user@example.com,AUTHENTICATION_ERROR
Appointment 9002 requested for a slot close to closing time,WARNING
User 60021 does not have permission to access /api/appointments,AUTHORIZATION_ERROR
Invalid request body for endpoint /api/services/{id}/available-slots: missing required field 'serviceId',VALIDATION_ERROR
Failed to parse JWT claims for request to /api/services,AUTHENTICATION_ERROR
Connection reset by peer while streaming websocket data for user 60021,NETWORK_ERROR
Unusual number of admin actions performed by user 8891 in a short period,SECURITY_ALERT
User 8891 attempted to access admin-only endpoint /api/auth/login,AUTHORIZATION_ERROR
User 9002 does not have permission to access /api/services,AUTHORIZATION_ERROR
Disk space critically low on mysql-db volume (3100 MB free),SYSTEM_ERROR
Appointment 4471 cancelled by user 77410,INFO
Connection reset by peer while streaming websocket data for user 77410,NETWORK_ERROR
Legacy subsystem emitted an unrecognized diagnostic code 31,UNKNOWN
xkcd-node-9002 heartbeat received on unmapped channel,UNKNOWN
SQL injection pattern detected in request parameter for /api/appointments/{id}/cancel,SECURITY_ALERT
Failed to serialize response for endpoint /api/admin/schedules,APPLICATION_ERROR
"Working schedule overlaps detected for staff member 8891, auto-resolved",WARNING
"Working schedule overlaps detected for staff member 203, auto-resolved",WARNING
"Working schedule overlaps detected for staff member 12345, auto-resolved",WARNING
Appointment API request took 3100 ms,PERFORMANCE_WARNING
IllegalStateException: working schedule not initialized for staff 77410,APPLICATION_ERROR
User 8891 attempted to book an already-cancelled appointment,WARNING
JWT token missing on protected endpoint /api/appointments,AUTHENTICATION_ERROR
Slow response detected for /api/services: 2200 ms,PERFORMANCE_WARNING
"JVM garbage collector could not reclaim memory, heap dump 60021 written",SYSTEM_ERROR
User 9002 does not have permission to access /api/appointments,AUTHORIZATION_ERROR
User 31 does not have permission to access /api/services/{id}/available-slots,AUTHORIZATION_ERROR
"Working schedule overlaps detected for staff member 555, auto-resolved",WARNING
User 8891 attempted to access admin-only endpoint /api/appointments/{id}/status,AUTHORIZATION_ERROR
"Connection pool exhausted, unable to obtain JDBC connection for appointmentdb",DATABASE_ERROR
"Docker health check failed for spring-app container, retry 31",SYSTEM_ERROR
Login failed for user admin@system.local: invalid credentials,AUTHENTICATION_ERROR
Failed to parse JWT claims for request to /api/appointments/{id}/status,AUTHENTICATION_ERROR
Account for user 77410 locked after repeated failed authentication attempts,SECURITY_ALERT
Query timeout while fetching appointments for user 9002,DATABASE_ERROR
Malformed Authorization header on request to /api/services,AUTHENTICATION_ERROR
Malformed Authorization header on request to /api/appointments,AUTHENTICATION_ERROR
Unusual number of admin actions performed by user 203 in a short period,SECURITY_ALERT
NullPointerException while processing appointment request for user 9002,APPLICATION_ERROR
Deprecated API version used by client for endpoint /api/appointments/{id}/status,WARNING
Unable to reach downstream service from 198.51.100.7,NETWORK_ERROR
Account for user 203 locked after repeated failed authentication attempts,SECURITY_ALERT
Miscellaneous debug marker 8891 left in codebase,UNKNOWN
Appointment 9002 cancelled by user 4471,INFO
Failed to acquire JDBC Connection: HikariPool-1 connection is not available,DATABASE_ERROR
org.hibernate.exception.ConstraintViolationException: could not execute statement,DATABASE_ERROR
Deprecated API version used by client for endpoint /api/appointments/{id}/status,WARNING
Validation failed: username already exists,VALIDATION_ERROR
Multiple failed login attempts detected from the same IP 198.51.100.7,SECURITY_ALERT
User 4471 attempted to access admin-only endpoint /api/appointments,AUTHORIZATION_ERROR
User 60021 attempted to book an already-cancelled appointment,WARNING
Disk space critically low on mysql-db volume (2200 MB free),SYSTEM_ERROR
403 Forbidden returned for request to /api/appointments/{id}/cancel by user 4471,AUTHORIZATION_ERROR
Expired JWT token for user 4471,AUTHENTICATION_ERROR
Query timeout while fetching appointments for user 12345,DATABASE_ERROR
User 9002 does not have permission to access /api/auth/register,AUTHORIZATION_ERROR
User 4471 attempted to access admin-only endpoint /api/appointments/{id}/status,AUTHORIZATION_ERROR
Table 'appointmentdb.working_schedule' doesn't exist,DATABASE_ERROR
Malformed Authorization header on request to /api/services,AUTHENTICATION_ERROR
Appointment created successfully for user 12345 with service svc-101,INFO
Appointment created successfully for user 31 with service svc-77,INFO
Appointment created successfully for user 203 with service svc-101,INFO
Unhandled RuntimeException in AppointmentService.getAvailableSlots,APPLICATION_ERROR
"JVM garbage collector could not reclaim memory, heap dump 203 written",SYSTEM_ERROR
User 4471 attempted to access admin-only endpoint /api/services,AUTHORIZATION_ERROR
Invalid request body for endpoint /api/appointments/{id}/status: missing required field 'serviceId',VALIDATION_ERROR
403 Forbidden returned for request to /api/auth/login by user 77410,AUTHORIZATION_ERROR
Invalid request body for endpoint /api/appointments/{id}/cancel: missing required field 'serviceId',VALIDATION_ERROR
Slow response detected for /api/admin/schedules: 6100 ms,PERFORMANCE_WARNING
Legacy subsystem emitted an unrecognized diagnostic code 60021,UNKNOWN
Slow response detected for /api/auth/login: 4200 ms,PERFORMANCE_WARNING
User 9002 registered a new account,INFO
Appointment 4471 cancelled by user 60021,INFO
Multiple failed login attempts detected from the same IP 198.51.100.7,SECURITY_ALERT
SocketTimeoutException while sending reminder email to staff2@clinic.local,NETWORK_ERROR
Connection reset by peer while streaming websocket data for user 77410,NETWORK_ERROR
Connection reset by peer while streaming websocket data for user 60021,NETWORK_ERROR
"Cache miss for service svc-330 listing, falling back to database",WARNING
Malformed Authorization header on request to /api/admin/schedules,AUTHENTICATION_ERROR
Appointment 60021 cancelled by user 203,INFO
Appointment 203 cancelled by user 203,INFO
Unclassified telemetry ping from unknown source 203.0.113.42,UNKNOWN
User 31 attempted to access admin-only endpoint /api/auth/login,AUTHORIZATION_ERROR
Thread pool queue depth elevated while processing /api/services/{id}/available-slots requests,PERFORMANCE_WARNING
Connection refused while connecting to MySQL at mysql:3306,DATABASE_ERROR
xkcd-node-203 heartbeat received on unmapped channel,UNKNOWN
"JVM garbage collector could not reclaim memory, heap dump 31 written",SYSTEM_ERROR
User 555 does not have permission to access /api/auth/register,AUTHORIZATION_ERROR
403 Forbidden returned for request to /api/admin/schedules by user 77410,AUTHORIZATION_ERROR
Validation failed: password must be at least 8 characters,VALIDATION_ERROR
Thread pool queue depth elevated while processing /api/appointments/{id}/status requests,PERFORMANCE_WARNING
Unable to reach downstream service from 10.0.0.5,NETWORK_ERROR
Slow response detected for /api/appointments/{id}/cancel: 80 ms,PERFORMANCE_WARNING
Reminder email sent to admin@system.local for upcoming appointment,INFO
StackOverflowError encountered while processing recursive schedule computation for staff 555,SYSTEM_ERROR
Unable to reach downstream service from 172.17.0.3,NETWORK_ERROR
User 9002 attempted to access admin-only endpoint /api/appointments,AUTHORIZATION_ERROR
Appointment 9002 cancelled by user 555,INFO
Invalid request body for endpoint /api/appointments/{id}/cancel: missing required field 'serviceId',VALIDATION_ERROR
User 203 does not have permission to access /api/services/{id}/available-slots,AUTHORIZATION_ERROR
User 12345 does not have permission to access /api/auth/register,AUTHORIZATION_ERROR
Validation failed: startTime must not be null,VALIDATION_ERROR
403 Forbidden returned for request to /api/appointments/{id}/status by user 31,AUTHORIZATION_ERROR
403 Forbidden returned for request to /api/appointments by user 555,AUTHORIZATION_ERROR
User 555 attempted to access admin-only endpoint /api/appointments,AUTHORIZATION_ERROR
Database query for available slots took 80 ms,PERFORMANCE_WARNING
Slow response detected for /api/services: 7300 ms,PERFORMANCE_WARNING
Query timeout while fetching appointments for user 60021,DATABASE_ERROR
Exception in method: cancelAppointment | Message: Appointment 9002 not found,APPLICATION_ERROR
Exception in method: cancelAppointment | Message: Appointment 555 not found,APPLICATION_ERROR
Query timeout while fetching appointments for user 203,DATABASE_ERROR
Appointment API request took 5000 ms,PERFORMANCE_WARNING
No handler registered for event type 9002,UNKNOWN
Database query for available slots took 2200 ms,PERFORMANCE_WARNING
Slow response detected for /api/admin/schedules: 200 ms,PERFORMANCE_WARNING
NullPointerException while processing appointment request for user 12345,APPLICATION_ERROR
Rejected request: appointment duration must be positive,VALIDATION_ERROR
AccessDeniedException: role CUSTOMER cannot perform this action on /api/admin/schedules,AUTHORIZATION_ERROR
"JVM garbage collector could not reclaim memory, heap dump 77410 written",SYSTEM_ERROR
MethodArgumentNotValidException: appointment date must be in the future,VALIDATION_ERROR
Failed to serialize response for endpoint /api/auth/register,APPLICATION_ERROR
Failed to serialize response for endpoint /api/services,APPLICATION_ERROR
Failed to serialize response for endpoint /api/appointments,APPLICATION_ERROR
Connection reset by peer while streaming websocket data for user 555,NETWORK_ERROR
JWT token missing on protected endpoint /api/appointments/{id}/cancel,AUTHENTICATION_ERROR
Malformed Authorization header on request to /api/appointments,AUTHENTICATION_ERROR
Connection reset by peer while streaming websocket data for user 77410,NETWORK_ERROR
Slow response detected for /api/appointments: 310 ms,PERFORMANCE_WARNING
403 Forbidden returned for request to /api/appointments/{id}/status by user 8891,AUTHORIZATION_ERROR
OutOfMemoryError: Java heap space in appointment-service container (attempt 555),SYSTEM_ERROR
xkcd-node-12345 heartbeat received on unmapped channel,UNKNOWN
Legacy subsystem emitted an unrecognized diagnostic code 31,UNKNOWN
User 60021 attempted to access admin-only endpoint /api/appointments/{id}/cancel,AUTHORIZATION_ERROR
SocketTimeoutException while sending reminder email to admin@system.local,NETWORK_ERROR
User 203 does not have permission to access /api/appointments,AUTHORIZATION_ERROR
Deprecated API version used by client for endpoint /api/appointments/{id}/cancel,WARNING
User 555 attempted to access admin-only endpoint /api/auth/register,AUTHORIZATION_ERROR
Table 'appointmentdb.working_schedule' doesn't exist,DATABASE_ERROR
Connection reset by peer while streaming websocket data for user 9002,NETWORK_ERROR
User 77410 attempted to book an already-cancelled appointment,WARNING
Deprecated API version used by client for endpoint /api/services/{id}/available-slots,WARNING
com.mysql.cj.jdbc.exceptions.CommunicationsException: Communications link failure,DATABASE_ERROR
User 4471 does not have permission to access /api/auth/login,AUTHORIZATION_ERROR
Completely unrelated unknown event (ref 31),UNKNOWN
Slow response detected for /api/services: 4200 ms,PERFORMANCE_WARNING
"Working schedule overlaps detected for staff member 77410, auto-resolved",WARNING
Validation failed: password must be at least 8 characters,VALIDATION_ERROR
JWT token missing on protected endpoint /api/services/{id}/available-slots,AUTHENTICATION_ERROR
IllegalStateException: working schedule not initialized for staff 12345,APPLICATION_ERROR
xkcd-node-77410 heartbeat received on unmapped channel,UNKNOWN
"Working schedule overlaps detected for staff member 60021, auto-resolved",WARNING
"Working schedule overlaps detected for staff member 203, auto-resolved",WARNING
Invalid request body for endpoint /api/services/{id}/available-slots: missing required field 'serviceId',VALIDATION_ERROR
"Connection pool exhausted, unable to obtain JDBC connection for appointmentdb",DATABASE_ERROR
Connection reset by peer while streaming websocket data for user 12345,NETWORK_ERROR
User 4471 attempted to access admin-only endpoint /api/appointments,AUTHORIZATION_ERROR
Connection refused while connecting to MySQL at mysql:3306,DATABASE_ERROR
StackOverflowError encountered while processing recursive schedule computation for staff 9002,SYSTEM_ERROR
Exception in method: cancelAppointment | Message: Appointment 4471 not found,APPLICATION_ERROR
User 77410 registered a new account,INFO
IllegalStateException: working schedule not initialized for staff 12345,APPLICATION_ERROR
Method getAllAppointments took 310 ms to complete,PERFORMANCE_WARNING
SocketTimeoutException while sending reminder email to admin@system.local,NETWORK_ERROR
Appointment 555 cancelled by user 8891,INFO
Validation failed: password must be at least 8 characters,VALIDATION_ERROR
Malformed Authorization header on request to /api/appointments,AUTHENTICATION_ERROR
AuthenticationException: Bad credentials for user admin@system.local,AUTHENTICATION_ERROR
Data truncation: Data too long for column 'notes' at row 1,DATABASE_ERROR
"JVM garbage collector could not reclaim memory, heap dump 8891 written",SYSTEM_ERROR
Unable to reach downstream service from 10.0.0.5,NETWORK_ERROR
User 9002 attempted to access admin-only endpoint /api/appointments/{id}/status,AUTHORIZATION_ERROR
Appointment 31 cancelled by user 60021,INFO
Appointment 9002 cancelled by user 12345,INFO
"Working schedule overlaps detected for staff member 9002, auto-resolved",WARNING
User 203 does not have permission to access /api/auth/login,AUTHORIZATION_ERROR
"Cache miss for service svc-330 listing, falling back to database",WARNING
AuthenticationException: Bad credentials for user customer1@mail.com,AUTHENTICATION_ERROR
Invalid request body for endpoint /api/appointments: missing required field 'serviceId',VALIDATION_ERROR
Retrying email delivery to customer1@mail.com after transient failure,WARNING
Malformed Authorization header on request to /api/admin/schedules,AUTHENTICATION_ERROR
Failed to connect to PostgreSQL database,DATABASE_ERROR
GC pause of 200 ms detected on spring-app container,PERFORMANCE_WARNING
Proxy error: unable to forward request from Apache to spring-app:8443,NETWORK_ERROR
"Cache miss for service svc-9 listing, falling back to database",WARNING
Invalid request body for endpoint /api/admin/schedules: missing required field 'serviceId',VALIDATION_ERROR
Exception in method: cancelAppointment | Message: Appointment 4471 not found,APPLICATION_ERROR
Connection reset by peer while streaming websocket data for user 203,NETWORK_ERROR
Repeated 401 Unauthorized responses from IP 10.0.0.5 within short window,SECURITY_ALERT
MethodArgumentNotValidException: appointment date must be in the future,VALIDATION_ERROR
StackOverflowError encountered while processing recursive schedule computation for staff 12345,SYSTEM_ERROR
IllegalStateException: working schedule not initialized for staff 555,APPLICATION_ERROR
NullPointerException while processing appointment request for user 31,APPLICATION_ERROR
Repeated 401 Unauthorized responses from IP 10.0.0.5 within short window,SECURITY_ALERT
Slow response detected for /api/appointments/{id}/status: 7300 ms,PERFORMANCE_WARNING
Container spring-app restarted unexpectedly at cycle 203,SYSTEM_ERROR
Failed to serialize response for endpoint /api/services,APPLICATION_ERROR
Validation failed: startTime must not be null,VALIDATION_ERROR
xkcd-node-77410 heartbeat received on unmapped channel,UNKNOWN
Slow query warning: appointment lookup took longer than expected,WARNING
Failed to serialize response for endpoint /api/appointments,APPLICATION_ERROR
MethodArgumentNotValidException: appointment date must be in the future,VALIDATION_ERROR
Deprecated API version used by client for endpoint /api/admin/schedules,WARNING
Suspicious request payload containing script tags blocked for /api/appointments/{id}/cancel,SECURITY_ALERT
User 203 attempted to book an already-cancelled appointment,WARNING
Request from 203.0.113.42 attempted path traversal on static resource path,SECURITY_ALERT
Completely unrelated unknown event (ref 9002),UNKNOWN
Exception in method: register | Message: Unexpected error creating user account,APPLICATION_ERROR
User 203 tried to cancel an appointment belonging to another user,AUTHORIZATION_ERROR
Completely unrelated unknown event (ref 77410),UNKNOWN
SocketTimeoutException while sending reminder email to staff2@clinic.local,NETWORK_ERROR
Slow response detected for /api/appointments/{id}/status: 1500 ms,PERFORMANCE_WARNING
Query timeout while fetching appointments for user 31,DATABASE_ERROR
Query timeout while fetching appointments for user 9002,DATABASE_ERROR
Container spring-app restarted unexpectedly at cycle 203,SYSTEM_ERROR
"Working schedule overlaps detected for staff member 77410, auto-resolved",WARNING
Appointment API request took 1500 ms,PERFORMANCE_WARNING
Uninterpreted binary blob logged at offset 31,UNKNOWN
Unclassified telemetry ping from unknown source 172.17.0.3,UNKNOWN
Malformed Authorization header on request to /api/auth/register,AUTHENTICATION_ERROR
Connection reset by peer while streaming websocket data for user 555,NETWORK_ERROR
Query timeout while fetching appointments for user 77410,DATABASE_ERROR
Completely unrelated unknown event (ref 555),UNKNOWN
Request from 10.0.0.5 attempted path traversal on static resource path,SECURITY_ALERT
Disk space critically low on mysql-db volume (3100 MB free),SYSTEM_ERROR
"Working schedule overlaps detected for staff member 555, auto-resolved",WARNING
User 4471 attempted to access admin-only endpoint /api/auth/register,AUTHORIZATION_ERROR
Appointment API request took 3100 ms,PERFORMANCE_WARNING
IllegalStateException: working schedule not initialized for staff 4471,APPLICATION_ERROR
Multiple failed login attempts detected from the same IP 172.17.0.3,SECURITY_ALERT
Failed to parse JWT claims for request to /api/appointments/{id}/cancel,AUTHENTICATION_ERROR
Uninterpreted binary blob logged at offset 8891,UNKNOWN
Uninterpreted binary blob logged at offset 4471,UNKNOWN
403 Forbidden returned for request to /api/services by user 60021,AUTHORIZATION_ERROR
Request from 203.0.113.42 attempted path traversal on static resource path,SECURITY_ALERT
Proxy error: unable to forward request from Apache to spring-app:8443,NETWORK_ERROR
Container spring-app restarted unexpectedly at cycle 77410,SYSTEM_ERROR
Connection reset by peer while streaming websocket data for user 12345,NETWORK_ERROR
MethodArgumentNotValidException: appointment date must be in the future,VALIDATION_ERROR
Slow response detected for /api/auth/login: 7300 ms,PERFORMANCE_WARNING
Unusual number of admin actions performed by user 9002 in a short period,SECURITY_ALERT
Uninterpreted binary blob logged at offset 203,UNKNOWN
Failed to parse JWT claims for request to /api/appointments/{id}/status,AUTHENTICATION_ERROR
SocketTimeoutException while sending reminder email to customer1@mail.com,NETWORK_ERROR
StackOverflowError encountered while processing recursive schedule computation for staff 8891,SYSTEM_ERROR
Uninterpreted binary blob logged at offset 60021,UNKNOWN
NullPointerException while processing appointment request for user 9002,APPLICATION_ERROR
Possible brute force attack detected against /api/auth/login from 198.51.100.7,SECURITY_ALERT
Malformed Authorization header on request to /api/appointments/{id}/status,AUTHENTICATION_ERROR
User 31 does not have permission to access /api/appointments/{id}/cancel,AUTHORIZATION_ERROR
JWT token missing on protected endpoint /api/appointments/{id}/cancel,AUTHENTICATION_ERROR
SQL injection pattern detected in request parameter for /api/auth/register,SECURITY_ALERT
Connection reset by peer while streaming websocket data for user 8891,NETWORK_ERROR
Uninterpreted binary blob logged at offset 4471,UNKNOWN
"Working schedule overlaps detected for staff member 4471, auto-resolved",WARNING
OutOfMemoryError: Java heap space in appointment-service container (attempt 60021),SYSTEM_ERROR
Connection reset by peer while streaming websocket data for user 555,NETWORK_ERROR
Invalid request body for endpoint /api/auth/login: missing required field 'serviceId',VALIDATION_ERROR
Account for user 60021 locked after repeated failed authentication attempts,SECURITY_ALERT
Invalid JWT token,AUTHENTICATION_ERROR
Account for user 9002 locked after repeated failed authentication attempts,SECURITY_ALERT
Failed to serialize response for endpoint /api/auth/register,APPLICATION_ERROR
Slow response detected for /api/appointments/{id}/cancel: 310 ms,PERFORMANCE_WARNING
NullPointerException while processing appointment request for user 9002,APPLICATION_ERROR
Query timeout while fetching appointments for user 77410,DATABASE_ERROR
Connection reset by peer while streaming websocket data for user 555,NETWORK_ERROR
Invalid request body for endpoint /api/admin/schedules: missing required field 'serviceId',VALIDATION_ERROR
"Method Completed: createAppointment | Result: Appointment{id=12345, status=PENDING}",INFO
Query timeout while fetching appointments for user 203,DATABASE_ERROR
Account for user 77410 locked after repeated failed authentication attempts,SECURITY_ALERT
"Connection pool exhausted, unable to obtain JDBC connection for appointmentdb",DATABASE_ERROR
Table 'appointmentdb.working_schedule' doesn't exist,DATABASE_ERROR
MethodArgumentNotValidException: appointment date must be in the future,VALIDATION_ERROR
Account for user 31 locked after repeated failed authentication attempts,SECURITY_ALERT
User 555 attempted to access admin-only endpoint /api/appointments/{id}/status,AUTHORIZATION_ERROR
NullPointerException while processing appointment request for user 203,APPLICATION_ERROR
Read timed out on connection to mysql:3306,NETWORK_ERROR
AccessDeniedException: role CUSTOMER cannot perform this action on /api/services,AUTHORIZATION_ERROR
Application failed to start: port 8443 already in use (pid 203),SYSTEM_ERROR
"Fatal error: unable to load SSL keystore, service unavailable (code 8891)",SYSTEM_ERROR
Application failed to start: port 8443 already in use (pid 203),SYSTEM_ERROR
User 12345 tried to cancel an appointment belonging to another user,AUTHORIZATION_ERROR
"Fatal error: unable to load SSL keystore, service unavailable (code 12345)",SYSTEM_ERROR
Invalid request body for endpoint /api/auth/login: missing required field 'serviceId',VALIDATION_ERROR
Account for user 9002 locked after repeated failed authentication attempts,SECURITY_ALERT
Connection reset by peer while streaming websocket data for user 9002,NETWORK_ERROR
"JVM garbage collector could not reclaim memory, heap dump 8891 written",SYSTEM_ERROR
Unable to reach downstream service from 10.0.0.5,NETWORK_ERROR
Container spring-app restarted unexpectedly at cycle 4471,SYSTEM_ERROR
Method getAllAppointments took 1500 ms to complete,PERFORMANCE_WARNING
Appointment 31 cancelled by user 77410,INFO
Suspicious request payload containing script tags blocked for /api/appointments/{id}/cancel,SECURITY_ALERT
Multiple failed login attempts detected from the same IP 198.51.100.7,SECURITY_ALERT
Retrying email delivery to admin@system.local after transient failure,WARNING
Account for user 9002 locked after repeated failed authentication attempts,SECURITY_ALERT
NullPointerException while processing appointment request for user 9002,APPLICATION_ERROR
"Fatal error: unable to load SSL keystore, service unavailable (code 77410)",SYSTEM_ERROR
Legacy subsystem emitted an unrecognized diagnostic code 9002,UNKNOWN
OutOfMemoryError: Java heap space in appointment-service container (attempt 12345),SYSTEM_ERROR
Connection timed out while calling SMTP server smtp.gmail.com:587,NETWORK_ERROR
Container spring-app restarted unexpectedly at cycle 4471,SYSTEM_ERROR
"Fatal error: unable to load SSL keystore, service unavailable (code 12345)",SYSTEM_ERROR
Slow response detected for /api/auth/login: 120 ms,PERFORMANCE_WARNING
Proxy error: unable to forward request from Apache to spring-app:8443,NETWORK_ERROR
Unable to reach downstream service from 10.0.0.5,NETWORK_ERROR
Query timeout while fetching appointments for user 60021,DATABASE_ERROR
Failed to serialize response for endpoint /api/admin/schedules,APPLICATION_ERROR
"Docker health check failed for spring-app container, retry 77410",SYSTEM_ERROR
JWT token missing on protected endpoint /api/auth/login,AUTHENTICATION_ERROR
GC pause of 1500 ms detected on spring-app container,PERFORMANCE_WARNING
User 77410 does not have permission to access /api/services/{id}/available-slots,AUTHORIZATION_ERROR
NullPointerException while processing appointment request for user 31,APPLICATION_ERROR
Unclassified telemetry ping from unknown source 203.0.113.42,UNKNOWN
Request from 198.51.100.7 attempted path traversal on static resource path,SECURITY_ALERT
Query timeout while fetching appointments for user 8891,DATABASE_ERROR
Slow response detected for /api/appointments/{id}/cancel: 4200 ms,PERFORMANCE_WARNING
Slow response detected for /api/admin/schedules: 4200 ms,PERFORMANCE_WARNING
Disk space critically low on mysql-db volume (7300 MB free),SYSTEM_ERROR
Appointment created successfully for user 77410 with service svc-101,INFO
Account for user 4471 locked after repeated failed authentication attempts,SECURITY_ALERT
Query timeout while fetching appointments for user 77410,DATABASE_ERROR
Multiple failed login attempts detected from the same IP 172.17.0.3,SECURITY_ALERT
Retrying email delivery to user@example.com after transient failure,WARNING
com.mysql.cj.jdbc.exceptions.CommunicationsException: Communications link failure,DATABASE_ERROR
"Connection pool exhausted, unable to obtain JDBC connection for appointmentdb",DATABASE_ERROR
Uninterpreted binary blob logged at offset 77410,UNKNOWN
Invalid request body for endpoint /api/appointments/{id}/cancel: missing required field 'serviceId',VALIDATION_ERROR
User 60021 does not have permission to access /api/services,AUTHORIZATION_ERROR
Placeholder log entry 77410 pending removal,UNKNOWN
No handler registered for event type 60021,UNKNOWN
User 4471 attempted to book an already-cancelled appointment,WARNING
Reminder email sent to staff2@clinic.local for upcoming appointment,INFO
Request from 172.17.0.3 attempted path traversal on static resource path,SECURITY_ALERT
Available slots fetched for service svc-77 on requested date,INFO
Exception in method: createAppointment | Message: Requested slot is no longer available,APPLICATION_ERROR
Connection reset by peer while streaming websocket data for user 31,NETWORK_ERROR
Invalid request body for endpoint /api/appointments: missing required field 'serviceId',VALIDATION_ERROR
Disk space critically low on mysql-db volume (2200 MB free),SYSTEM_ERROR
User 60021 successfully logged in,INFO
